Accession	Mann P	Student P	log2FC	c_median	a_median	a1	a2	a3	c1	c2	c3
Q01105|SET_HUMAN	0.38273308888522595	0.345904346608342	0.1993321267995185	16.18942036546367	16.388752492263187	15.99912615159474	16.388752492263187	16.707938315676213	16.18942036546367	15.834359989399742	16.283138881925062
P30520|PURA2_HUMAN	0.6625205835400574	0.7139184845121703	-0.19207142131955734	15.658930182196622	15.466858760877065	15.205502214955695	15.466858760877065	16.12819988473349	15.889745810354468	15.593101475022603	15.658930182196622
H3BSJ5|H3BSJ5_HUMAN	0.38273308888522595	0.5429647167730658	0.308361518064336	9.979193945439217	10.287555463503553	10.287555463503553	10.318751121182508	9.379979581336437	10.000944275761576	9.979193945439217	9.198127552220237
Q92900|RENT1_HUMAN	1.0	0.5234388198863822	0.00728454733620687	15.724476029308335	15.731760576644541	15.731760576644541	15.842334197966892	13.18608377544489	15.724476029308335	15.12200148362928	15.784513951398965
B7ZBQ3|B7ZBQ3_HUMAN	0.19043026382552397	0.14580575574683072	0.6306363910148676	8.3003734512249	8.931009842239767	8.429940847813844	8.931009842239767	9.846291417928757	8.137318102980082	8.3003734512249	8.46844606222008
A0A087WZN1|A0A087WZN1_HUMAN	0.38273308888522595	0.20629116057533373	-0.15987344128802405	14.02770413987774	13.867830698589716	13.867830698589716	14.06304043135007	13.76652352539837	14.072594052057047	14.02770413987774	14.001523737322955
A0A804HHW6|A0A804HHW6_HUMAN	1.0	0.8441757076022932	0.02208042034508928	12.429921767029178	12.452002187374267	12.328913720711276	12.511208576105188	12.452002187374267	12.557090450513037	12.429921767029178	12.237648783476066
Q9BYC9|RM20_HUMAN	0.6625205835400574	0.8706096443962423	-0.3911985948352097	11.942592355989397	11.551393761154188	11.201433265324518	11.551393761154188	12.619063395872361	11.942592355989397	11.6847674647356	11.971599432154884
Q02410|APBA1_HUMAN	0.6625205835400574	0.5440397501378138	5.2290005326645455	7.966566965207465	13.19556749787201	14.240482080885398	13.19556749787201	8.179733617778355	7.966566965207465	14.351031142139338	7.563729389213785
Q9Y6D5|BIG2_HUMAN	0.6625205835400574	0.9868937337382209	0.10893309765951464	11.568517885276247	11.677450982935762	11.238390825849688	11.700337624780586	11.677450982935762	11.449249568579951	11.568517885276247	11.606675403528644
Q969Q5|RAB24_HUMAN	0.6625205835400574	0.9704885867613995	0.1525434964641157	12.337173080443838	12.489716576907954	12.60971323059851	12.489716576907954	11.976073935521882	12.4518527108135	12.309991834788859	12.337173080443838
P50336|PPOX_HUMAN	0.38273308888522595	0.4304052665686469	-0.5383532264115409	12.85979018602102	12.321436959609478	12.258150772387566	13.156148192079993	12.321436959609478	13.179255220671068	12.85979018602102	12.582175778252905
Q96M32|KAD7_HUMAN	0.38273308888522595	0.5180814455939186	3.6497786953481306	7.188519738094358	10.838298433442489	7.60073825146935	11.975447822525899	10.838298433442489	6.9188409707144265	7.188519738094358	11.891271455549452
P46531|NOTC1_HUMAN	1.0	0.739199569297026	0.01605119660939991	12.035445812632947	12.051497009242347	12.051497009242347	11.929764428402347	12.137551168786626	12.035445812632947	12.058267835068436	11.951855978307
P32856|STX2_HUMAN	0.08085559837005224	0.026485032542328674	-0.3745016025194392	11.858442451589287	11.483940849069848	11.685318661570122	11.483940849069848	11.442905925176168	11.930292247010396	11.858442451589287	11.75527799136852
O75817|POP7_HUMAN	0.08085559837005224	0.25947873874236355	0.05788163375957822	10.102515169514314	10.160396803273892	10.160396803273892	10.160175796536267	10.759514148914613	10.01836029933824	10.156689171688601	10.102515169514314
O95218|ZRAB2_HUMAN	0.19043026382552397	0.27435117618555505	0.2963498447539372	13.813411202705998	14.109761047459935	13.82875334646373	14.109761047459935	14.176990901699808	14.060138138823458	13.295710305809944	13.813411202705998
Q13185|CBX3_HUMAN	0.6625205835400574	0.583605075608616	-0.38291674305261836	15.196282448406151	14.813365705353533	14.620334078260107	14.813365705353533	15.485740945326157	15.401017500099556	15.196282448406151	14.866889461704965
O14657|TOR1B_HUMAN	1.0	0.6847131632122541	0.08961325115457619	12.97184106116359	13.061454312318165	13.687124567905109	13.061454312318165	12.28237051763062	12.97184106116359	12.525701073540091	14.470457744387387
P01889|HLAB_HUMAN	0.6625205835400574	0.42474125078212094	0.013422152485157213	13.710529957012746	13.723952109497903	13.66914926214506	13.890211590706071	13.723952109497903	13.567912950734389	13.767495540280978	13.710529957012746
E9PIN5|E9PIN5_HUMAN	0.08085559837005224	0.10624221469627423	0.4879509380145137	9.427678971904513	9.915629909919026	9.45592051452404	9.915629909919026	10.162281548831922	9.358837717327743	9.427678971904513	9.446296453552655
Q9P0M9|RM27_HUMAN	0.08085559837005224	0.28154231918469186	-0.24736642183258084	10.962920977622966	10.715554555790385	10.715554555790385	10.833124472604002	8.185596138509093	11.124129746916662	10.880211611666631	10.962920977622966
K7ESC7|K7ESC7_HUMAN	1.0	0.8221862959797976	-0.5253023786594593	8.839718561976943	8.314416183317483	8.314416183317483	8.310196112062933	9.377961122276364	7.8810368516897045	8.839718561976943	8.930069463524424
E9PJN0|E9PJN0_HUMAN	0.38273308888522595	0.37398931698172594	-0.07772933252302394	11.1245592894403	11.046829956917277	11.046829956917277	11.319286673462038	10.687290422803082	11.623866359007035	11.1245592894403	11.067892575591152
