	0
157	P19823|ITIH2_HUMAN
158	O60885|BRD4_HUMAN
159	P15259|PGAM2_HUMAN
160	Q8IUE6|H2A2B_HUMAN
161	Q9UBN6|TR10D_HUMAN
162	F6U236|F6U236_HUMAN
163	O75116|ROCK2_HUMAN
164	C9JQ41|C9JQ41_HUMAN
165	Q53FT3|HIKES_HUMAN
166	P49184|DNSL1_HUMAN
167	P51116|FXR2_HUMAN
168	Q9H792|PEAK1_HUMAN
169	Q96A73|P33MX_HUMAN
170	Q9Y4K0|LOXL2_HUMAN
171	B4DRN8|B4DRN8_HUMAN
172	A0A087WUB9|A0A087WUB9_HUMAN
173	A0A6Q8PH57|A0A6Q8PH57_HUMAN
174	Q9NTJ4|MA2C1_HUMAN
175	A0A7I2V5J8|A0A7I2V5J8_HUMAN
176	O00469|PLOD2_HUMAN
177	P48681|NEST_HUMAN
178	P13807|GYS1_HUMAN
179	Q96AA3|RFT1_HUMAN
180	Q12805|FBLN3_HUMAN
181	Q9UBB5|MBD2_HUMAN
182	K7EKI1|K7EKI1_HUMAN
183	H7C561|H7C561_HUMAN
184	A0A0G2JQM1|A0A0G2JQM1_HUMAN
185	Q14562|DHX8_HUMAN
186	P33316|DUT_HUMAN
187	Q9BW62|KATL1_HUMAN
188	Q01650|LAT1_HUMAN
189	P36959|GMPR1_HUMAN
190	O75882|ATRN_HUMAN
191	E7EWR4|E7EWR4_HUMAN
192	P48147|PPCE_HUMAN
193	P48307|TFPI2_HUMAN
194	Q5UIP0|RIF1_HUMAN
195	P07332|FES_HUMAN
196	A2A299|A2A299_HUMAN
197	A0A0C4DH00|A0A0C4DH00_HUMAN
198	O75173|ATS4_HUMAN
199	P52569|CTR2_HUMAN
200	Q14149|MORC3_HUMAN
201	O75153|CLU_HUMAN
202	Q9NX62|IMPA3_HUMAN
203	D3YTG3|D3YTG3_HUMAN
204	P40189|IL6RB_HUMAN
205	P14635|CCNB1_HUMAN
206	Q06787|FMR1_HUMAN
207	P07996|TSP1_HUMAN
208	A0A087X2D8|A0A087X2D8_HUMAN
209	O43752|STX6_HUMAN
210	Q8IVL5|P3H2_HUMAN
211	O00592|PODXL_HUMAN
212	A0A2R8Y880|A0A2R8Y880_HUMAN
213	A0A7I2V598|A0A7I2V598_HUMAN
